Time,ax,ay,AngleZ
 08:58:58.787,0.0132,-0.0029,-73.2843
 08:58:58.892,0.0039,0,-73.2788
 08:58:58.990,0.0054,0.0093,-73.2623
 08:58:59.084,0.0073,-0.0039,-73.2623
 08:58:59.179,0.0068,0.0054,-73.2458
 08:58:59.291,-0.001,-0.0112,-73.2568
 08:58:59.390,0.0044,-0.0068,-73.3392
 08:58:59.487,-0.001,0.0015,-73.4766
 08:58:59.580,-0.0029,-0.0137,-73.6908
 08:58:59.678,-0.0049,-0.0078,-73.949
 08:58:59.790,0.0078,0.0005,-74.2511
 08:58:59.888,-0.001,0.0103,-74.5697
 08:58:59.982,-0.0049,0.0034,-74.8608
 08:59:00.082,-0.0083,0.0117,-75.1245
 08:59:00.177,0.0034,0.0166,-75.3387
 08:59:00.291,0.0049,0,-75.498
 08:59:00.387,0.0049,0.001,-75.6409
 08:59:00.494,0.0049,0,-75.7727
 08:59:00.588,0.0049,-0.0044,-75.9155
 08:59:00.675,0.0034,-0.0015,-76.0364
 08:59:00.785,0.0005,-0.0059,-76.2012
 08:59:00.889,0.0029,-0.0103,-76.4099
 08:59:00.988,0.0073,-0.0044,-76.6736
 08:59:01.088,0.0107,0.0029,-76.9427
 08:59:01.183,0.0044,-0.0029,-77.2229
 08:59:01.305,0.0073,-0.0044,-77.4921
 08:59:01.387,0.0068,-0.002,-77.7997
 08:59:01.484,0.0068,-0.0137,-78.1567
